tool,design,pipelined,channels,cycles,packets,freq,luts,regs,bram
legup4,locks,no,1,1039,32,115.01,1085,1853,23
legup4,locks,no,2,2733,126,109.7,1269,1905,31
legup4,locks,no,3,4170,189,105.6,1466,2003,37
legup4,locks,no,4,5457,252,106.41,1651,2105,43
legup4,sc,no,1,270,22,106.7,1028,1874,23
legup4,sc,no,2,528,64,113.33,1227,1960,29
legup4,sc,no,3,784,96,118.85,1411,2037,35
legup4,sc,no,4,1040,128,114.78,1547,2136,41
legup4,weak,no,1,270,22,106.7,1028,1874,23
legup4,weak,no,2,526,64,115.96,1370,2105,29
legup4,weak,no,3,718,96,113.07,1610,2438,35
legup4,weak,no,4,974,128,111.73,1864,2580,41
legup4,unsound,no,1,268,32,130.09,1069,1926,23
legup4,unsound,no,2,397,44,116.33,1280,2015,29
legup4,unsound,no,3,589,86,109.91,1640,2441,35
legup4,unsound,no,4,781,108,109.71,1796,2630,41
legup4,sc,yes,1,271,32,116.02,1104,1759,25
legup4,sc,yes,2,530,64,115.41,1278,1853,31
legup4,sc,yes,3,792,96,112.65,1437,1958,37
legup4,sc,yes,4,1054,128,115.01,1616,2056,43
legup4,weak,yes,1,271,32,116.02,1104,1759,25
legup4,weak,yes,2,470,62,112.42,1316,1967,31
legup4,weak,yes,3,596,76,112.36,1626,2327,37
legup4,weak,yes,4,790,128,109.87,1906,2546,43
legup4,unsound,yes,1,271,32,126.06,1099,1860,23
legup4,unsound,yes,2,402,64,117.44,1382,1947,31
legup4,unsound,yes,3,590,76,109.09,1574,2139,37
legup4,unsound,yes,4,786,128,110.63,1729,2290,43
legup5,locks,no,1,297,32,163.56,535,948,15
legup5,locks,no,2,744,126,162.92,666,1123,15
legup5,locks,no,3,1096,189,147.56,835,1304,15
legup5,locks,no,4,1448,252,142.73,998,1478,15
legup5,sc,no,1,139,32,162.65,487,937,15
legup5,sc,no,2,269,128,160.44,609,1101,15
legup5,sc,no,3,397,192,154.54,711,1251,15
legup5,sc,no,4,525,256,154.77,835,1404,15
legup5,weak,no,1,139,32,162.65,487,937,15
legup5,weak,no,2,173,64,153.96,606,1095,15
legup5,weak,no,3,205,192,157.85,697,1240,15
legup5,weak,no,4,237,256,155.13,833,1389,15
legup5,unsound,no,1,73,62,159.95,481,923,15
legup5,unsound,no,2,73,124,164.74,508,957,15
legup5,unsound,no,3,73,186,160.54,593,1089,15
legup5,unsound,no,4,73,248,154.56,615,1123,15
legup5,sc,yes,1,142,32,145.94,541,998,15
legup5,sc,yes,2,274,64,158.83,667,1169,15
legup5,sc,yes,3,400,96,151.22,784,1338,15
legup5,sc,yes,4,532,128,156.86,934,1508,15
legup5,weak,yes,1,108,32,167.14,538,997,15
legup5,weak,yes,2,112,64,156.27,655,1163,15
legup5,weak,yes,3,113,96,141.1,764,1310,15
legup5,weak,yes,4,145,128,149.1,894,1461,15
legup5,unsound,yes,1,74,32,160.51,523,972,15
legup5,unsound,yes,2,74,64,168.89,550,1006,15
legup5,unsound,yes,3,74,96,161.68,634,1134,15
legup5,unsound,yes,4,74,128,152.93,654,1170,15
